Frequency,S11
2,0.1610816753
2.002000093,0.1635557757
2.003999949,0.1660654597
2.006000042,0.1686078799
2.007999897,0.1711804695
2.00999999,0.1737807018
2.012000084,0.1764062278
2.013999939,0.1790548174
2.016000032,0.1817243771
2.017999887,0.1844128868
2.019999981,0.1871185297
2.022000074,0.1898395474
2.023999929,0.1925742447
2.026000023,0.1953210905
2.028000116,0.1980785502
2.029999971,0.2008452751
2.032000065,0.2036199738
2.03399992,0.2064013664
2.036000013,0.2091883097
2.038000107,0.2119796723
2.039999962,0.2147744688
2.042000055,0.2175716428
2.04399991,0.2203703439
2.046000004,0.2231696619
2.048000097,0.2259687604
2.049999952,0.2287669108
2.052000046,0.2315633224
2.053999901,0.2343573557
2.055999994,0.2371482702
2.058000088,0.23993552
2.059999943,0.2427184964
2.062000036,0.24549663
2.063999891,0.2482693831
2.065999985,0.2510363325
2.068000078,0.2537969303
2.069999933,0.2565507774
2.072000027,0.2592974185
2.073999882,0.262036454
2.075999975,0.2647675449
2.078000069,0.2674903037
2.079999924,0.2702044022
2.082000017,0.2729095253
2.084000111,0.2756053421
2.085999966,0.2782915858
2.088000059,0.2809680126
2.089999914,0.2836343218
2.092000008,0.286290281
2.094000101,0.2889356651
2.095999956,0.2915702968
2.09800005,0.2941939016
2.099999905,0.2968062687
2.101999998,0.2994073041
2.104000092,0.3019967741
2.105999947,0.304574548
2.10800004,0.3071404177
2.109999895,0.3096942753
2.111999989,0.3122360202
2.114000082,0.3147654117
2.115999937,0.3172824704
2.118000031,0.3197869583
2.119999886,0.3222788153
2.121999979,0.3247579328
2.124000072,0.3272242392
2.125999928,0.3296775715
2.128000021,0.3321179693
2.130000114,0.3345452613
2.131999969,0.3369594222
2.134000063,0.3393603305
2.135999918,0.3417479354
2.138000011,0.3441222622
2.140000105,0.3464831778
2.14199996,0.3488306654
2.144000053,0.3511646407
2.145999908,0.3534850957
2.148000002,0.3557920263
2.150000095,0.3580852508
2.15199995,0.3603649444
2.154000044,0.3626309834
2.155999899,0.3648833228
2.157999992,0.3671219673
2.160000086,0.369346906
2.161999941,0.3715581318
2.164000034,0.3737556235
2.165999889,0.3759393347
2.167999983,0.3781093548
2.170000076,0.3802656009
2.171999931,0.3824080352
2.174000025,0.3845367737
2.176000118,0.3866517916
2.177999973,0.3887530126
2.180000067,0.3908405532
2.181999922,0.3929142928
2.184000015,0.3949744063
2.186000109,0.3970208336
2.187999964,0.3990535302
2.190000057,0.4010725983
2.191999912,0.4030780083
2.194000006,0.405069766
2.196000099,0.407048005
2.197999954,0.4090126273
2.200000048,0.4109637218
2.201999903,0.4129013117
2.203999996,0.414825402
2.20600009,0.4167360584
2.207999945,0.4186332767
2.210000038,0.4205170835
2.211999893,0.422387537
2.213999987,0.4242447158
2.21600008,0.4260885661
2.217999935,0.4279191969
2.220000029,0.4297366161
2.221999884,0.4315408854
2.223999977,0.4333320227
2.226000071,0.4351100457
2.227999926,0.4368750928
2.230000019,0.4386270574
2.232000113,0.4403661329
2.233999968,0.4420922899
2.236000061,0.4438056137
2.237999916,0.4455061296
2.24000001,0.4471938227
2.242000103,0.4488688538
2.243999958,0.4505312296
2.246000051,0.4521809814
2.247999907,0.4538181359
2.25,0.4554428628
2.252000093,0.4570550894
2.253999949,0.4586548873
2.256000042,0.4602424115
2.257999897,0.4618175478
2.25999999,0.4633804728
2.262000084,0.4649312985
2.263999939,0.4664698971
2.266000032,0.467996457
2.267999887,0.4695110257
2.269999981,0.471013604
2.272000074,0.472504293
2.273999929,0.4739831701
2.276000023,0.4754502646
2.278000116,0.4769056026
2.279999971,0.4783492915
2.282000065,0.4797813915
2.28399992,0.4812019258
2.286000013,0.4826110227
2.288000107,0.4840086774
2.289999962,0.4853949524
2.292000055,0.4867699446
2.29399991,0.4881337122
2.296000004,0.4894863139
2.298000097,0.4908277726
2.299999952,0.4921582141
2.302000046,0.4934776474
2.303999901,0.4947861524
2.305999994,0.4960838115
2.308000088,0.4973706969
2.309999943,0.4986468724
2.312000036,0.4999123089
2.313999891,0.5011671363
2.315999985,0.5024115221
2.318000078,0.5036452771
2.319999933,0.5048687398
2.322000027,0.5060818182
2.323999882,0.5072846399
2.325999975,0.5084772407
2.328000069,0.509659641
2.329999924,0.5108319621
2.332000017,0.5119942833
2.334000111,0.5131466268
2.335999966,0.5142890597
2.338000059,0.5154216979
2.339999914,0.5165445634
2.342000008,0.5176576987
2.344000101,0.5187612156
2.345999956,0.5198551732
2.34800005,0.5209396431
2.349999905,0.5220146113
2.351999998,0.5230802101
2.354000092,0.5241365627
2.355999947,0.5251835896
2.35800004,0.5262214865
2.359999895,0.5272501849
2.361999989,0.528269884
2.364000082,0.5292805459
2.365999937,0.5302823922
2.368000031,0.531275256
2.369999886,0.5322593833
2.371999979,0.5332347606
2.374000072,0.5342014172
2.375999928,0.5351595275
2.378000021,0.5361091154
2.380000114,0.5370501535
2.381999969,0.5379828191
2.384000063,0.5389070472
2.385999918,0.539823029
2.388000011,0.5407308017
2.390000105,0.5416303897
2.39199996,0.542521887
2.394000053,0.5434052965
2.395999908,0.5442807166
2.398000002,0.5451483186
2.400000095,0.546007959
2.40199995,0.5468598202
2.404000044,0.5477039528
2.405999899,0.5485403911
2.407999992,0.5493692151
2.410000086,0.5501904972
2.411999941,0.5510042227
2.414000034,0.5518105874
2.415999889,0.5526095097
2.417999983,0.5534011762
2.420000076,0.5541855304
2.421999931,0.5549627259
2.424000025,0.55573274
2.426000118,0.5564957261
2.427999973,0.5572515893
2.430000067,0.5580005117
2.431999922,0.5587424937
2.434000015,0.559477688
2.436000109,0.5602061018
2.437999964,0.5609277023
2.440000057,0.5616426095
2.441999912,0.562350889
2.444000006,0.5630525873
2.446000099,0.5637477732
2.447999954,0.5644365076
2.450000048,0.5651188633
2.451999903,0.5657947835
2.453999996,0.5664644232
2.45600009,0.5671278159
2.457999945,0.5677850282
2.460000038,0.5684360545
2.461999893,0.5690810296
2.463999987,0.5697199311
2.46600008,0.5703527699
2.467999935,0.5709797726
2.470000029,0.5716008777
2.471999884,0.5722160577
2.473999977,0.5728255423
2.476000071,0.5734292741
2.477999926,0.5740272431
2.480000019,0.5746196152
2.482000113,0.5752063701
2.483999968,0.5757876433
2.486000061,0.576363413
2.487999916,0.5769336897
2.49000001,0.5774985498
2.492000103,0.5780580684
2.493999958,0.57861232
2.496000051,0.5791612725
2.497999907,0.579705003
2.5,0.5802435617
2.502000093,0.5807770762
2.503999949,0.5813053428
2.506000042,0.5818286711
2.507999897,0.5823470323
2.50999999,0.5828603575
2.512000084,0.5833688077
2.513999939,0.5838724128
2.516000032,0.5843711751
2.517999887,0.5848651771
2.519999981,0.5853544346
2.522000074,0.5858389709
2.523999929,0.5863188343
2.526000023,0.5867940709
2.528000116,0.5872647677
2.529999971,0.5877308882
2.532000065,0.5881925228
2.53399992,0.5886497014
2.536000013,0.5891023688
2.538000107,0.5895507701
2.539999962,0.5899947857
2.542000055,0.5904343943
2.54399991,0.5908698655
2.546000004,0.5913010109
2.548000097,0.5917279338
2.549999952,0.5921507068
2.552000046,0.5925694043
2.553999901,0.5929838873
2.555999994,0.5933944262
2.558000088,0.5938008643
2.559999943,0.5942032988
2.562000036,0.5946017583
2.563999891,0.5949962493
2.565999985,0.5953868436
2.568000078,0.5957736339
2.569999933,0.5961566078
2.572000027,0.5965356074
2.573999882,0.5969109799
2.575999975,0.5972825348
2.578000069,0.5976504553
2.579999924,0.5980145846
2.582000017,0.5983751238
2.584000111,0.5987320281
2.585999966,0.5990852515
2.588000059,0.5994349663
2.589999914,0.5997810967
2.592000008,0.6001237202
2.594000101,0.6004628032
2.595999956,0.600798493
2.59800005,0.6011306866
2.599999905,0.6014595427
2.601999998,0.601784866
2.604000092,0.6021069432
2.605999947,0.6024256428
2.60800004,0.6027409643
2.609999895,0.6030531139
2.611999989,0.6033618847
2.614000082,0.6036674015
2.615999937,0.6039697609
2.618000031,0.6042688332
