# f_norm[GHz] T_norm[K]
0.408 130.258
0.408 88.185
0.408 110.805
0.408 77.869
0.408 62.853
0.408 51.468
0.408 61.795
0.408 51.549
0.408 89.163
0.408 70.325
0.408 73.026
0.408 61.179
0.408 58.774
0.408 50.090
0.408 52.943
0.408 45.641
0.408 43.971
0.408 37.988
0.408 41.993
0.408 35.755
0.408 31.628
0.408 26.650
0.408 30.776
0.408 26.412
0.408 40.540
0.408 33.402
0.408 38.072
0.408 31.869
0.408 28.341
0.408 24.597
0.408 27.165
0.408 23.496
0.408 65.898
0.408 56.719
0.408 70.309
0.408 64.999
0.408 48.688
0.408 42.280
0.408 54.151
0.408 44.145
0.408 65.501
0.408 70.257
0.408 52.788
0.408 59.600
0.408 63.850
0.408 50.672
0.408 62.943
0.408 56.324
0.408 37.202
0.408 32.083
0.408 37.687
0.408 32.556
0.408 27.548
0.408 24.551
0.408 28.807
0.408 26.217
0.408 40.546
0.408 33.348
0.408 45.585
0.408 36.147
0.408 29.806
0.408 27.818
0.408 30.885
0.408 28.933
0.408 22.642
0.408 19.937
0.408 22.831
0.408 20.623
0.408 19.848
0.408 21.025
0.408 19.991
0.408 20.583
0.408 21.748
0.408 20.291
0.408 20.879
0.408 19.745
0.408 19.678
0.408 19.683
0.408 18.969
0.408 18.669
0.408 21.962
0.408 22.715
0.408 21.596
0.408 22.024
0.408 22.782
0.408 21.838
0.408 21.723
0.408 21.157
0.408 20.301
0.408 20.310
0.408 18.704
0.408 18.507
0.408 20.481
0.408 20.225
0.408 19.053
0.408 18.894
0.408 21.862
0.408 19.954
0.408 23.362
0.408 21.328
0.408 19.205
0.408 18.864
0.408 20.467
0.408 19.586
0.408 24.769
0.408 22.637
0.408 25.845
0.408 23.503
0.408 21.688
0.408 20.219
0.408 22.583
0.408 20.795
0.408 18.199
0.408 17.548
0.408 18.294
0.408 17.325
0.408 17.764
0.408 17.568
0.408 16.851
0.408 16.684
0.408 18.341
0.408 17.489
0.408 18.702
0.408 17.727
0.408 16.626
0.408 16.158
0.408 16.494
0.408 15.585
0.408 45.691
0.408 50.062
0.408 43.109
0.408 47.718
0.408 56.266
0.408 54.980
0.408 49.813
0.408 48.313
0.408 40.004
0.408 42.124
0.408 34.383
0.408 34.966
0.408 44.364
0.408 45.453
0.408 38.850
0.408 42.700
0.408 50.083
0.408 42.345
0.408 50.095
0.408 46.618
0.408 34.637
0.408 30.836
0.408 39.739
0.408 35.026
0.408 47.420
0.408 45.927
0.408 43.552
0.408 42.411
0.408 43.350
0.408 39.831
0.408 41.731
0.408 40.025
0.408 31.173
0.408 32.240
0.408 28.960
0.408 30.558
0.408 34.989
0.408 38.956
0.408 33.158
0.408 35.379
0.408 26.767
0.408 28.558
0.408 25.515
0.408 26.969
0.408 30.769
0.408 32.219
0.408 28.588
0.408 29.182
0.408 39.267
0.408 37.990
0.408 35.448
0.408 35.077
0.408 37.812
0.408 38.249
0.408 34.500
0.408 35.329
0.408 32.639
0.408 31.472
0.408 28.416
0.408 26.977
0.408 31.134
0.408 32.336
0.408 27.061
0.408 28.324
0.408 26.975
0.408 23.770
0.408 29.226
0.408 24.237
0.408 22.147
0.408 20.571
0.408 21.391
0.408 19.923
0.408 32.701
0.408 26.118
0.408 35.567
0.408 29.899
0.408 21.909
0.408 19.803
0.408 24.378
0.408 20.504
0.408 19.036
0.408 17.683
0.408 18.957
0.408 17.647
0.408 16.364
0.408 15.080
0.408 16.438
0.408 15.032
0.408 18.601
0.408 17.771
0.408 18.683
0.408 17.954
0.408 16.576
0.408 15.310
0.408 16.937
0.408 15.937
0.408 36.683
0.408 32.620
0.408 35.572
0.408 33.367
0.408 27.324
0.408 22.168
0.408 29.271
0.408 24.038
0.408 33.876
0.408 34.237
0.408 30.415
0.408 31.943
0.408 30.808
0.408 25.376
0.408 30.648
0.408 26.423
0.408 19.330
0.408 18.258
0.408 20.078
0.408 18.690
0.408 17.634
0.408 16.709
0.408 18.294
0.408 17.309
0.408 20.629
0.408 18.611
0.408 20.926
0.408 18.513
0.408 18.350
0.408 17.183
0.408 17.794
0.408 16.920
0.408 59.335
0.408 49.743
0.408 52.236
0.408 46.104
0.408 43.409
0.408 39.897
0.408 40.460
0.408 35.903
0.408 47.657
0.408 42.696
0.408 42.343
0.408 38.048
0.408 36.356
0.408 31.160
0.408 32.546
0.408 28.513
0.408 36.651
0.408 33.791
0.408 32.560
0.408 30.633
0.408 31.569
0.408 29.479
0.408 29.332
0.408 27.756
0.408 28.534
0.408 27.816
0.408 26.145
0.408 25.070
0.408 27.019
0.408 25.076
0.408 23.836
0.408 21.480
0.408 38.058
0.408 34.625
0.408 34.298
0.408 31.663
0.408 29.881
0.408 25.981
0.408 26.626
0.408 22.294
0.408 29.910
0.408 27.249
0.408 25.464
0.408 22.666
0.408 23.235
0.408 20.355
0.408 20.586
0.408 20.264
0.408 23.384
0.408 21.846
0.408 20.084
0.408 18.880
0.408 19.697
0.408 17.902
0.408 16.895
0.408 16.276
0.408 19.125
0.408 17.980
0.408 19.442
0.408 18.103
0.408 16.210
0.408 15.868
0.408 16.823
0.408 16.956
0.408 27.380
0.408 26.008
0.408 26.110
0.408 25.202
0.408 24.688
0.408 22.730
0.408 24.503
0.408 23.061
0.408 23.756
0.408 24.279
0.408 21.379
0.408 23.054
0.408 24.477
0.408 23.117
0.408 23.395
0.408 22.104
0.408 20.811
0.408 17.788
0.408 20.648
0.408 17.434
0.408 14.754
0.408 13.389
0.408 14.967
0.408 13.163
0.408 20.268
0.408 17.178
0.408 19.413
0.408 16.261
0.408 14.348
0.408 12.590
0.408 13.404
0.408 12.332
0.408 19.359
0.408 21.678
0.408 17.882
0.408 20.499
0.408 22.163
0.408 20.846
0.408 20.816
0.408 19.314
0.408 17.608
0.408 19.457
0.408 18.250
0.408 18.745
0.408 19.411
0.408 18.376
0.408 18.306
0.408 17.573
0.408 18.215
0.408 15.108
0.408 17.044
0.408 14.297
0.408 12.948
0.408 12.268
0.408 12.845
0.408 12.378
0.408 16.294
0.408 14.015
0.408 15.767
0.408 13.912
0.408 12.978
0.408 13.178
0.408 13.482
0.408 14.047
0.408 21.860
0.408 19.864
0.408 20.870
0.408 19.345
0.408 19.491
0.408 20.132
0.408 19.295
0.408 19.670
0.408 20.981
0.408 19.530
0.408 21.640
0.408 20.462
0.408 18.995
0.408 19.147
0.408 19.533
0.408 19.715
0.408 19.008
0.408 17.754
0.408 18.869
0.408 17.432
0.408 17.293
0.408 17.695
0.408 17.330
0.408 17.734
0.408 19.054
0.408 17.960
0.408 19.286
0.408 18.192
0.408 17.814
0.408 17.664
0.408 18.019
0.408 18.066
0.408 23.384
0.408 22.556
0.408 24.961
0.408 23.933
0.408 21.538
0.408 20.819
0.408 22.274
0.408 20.987
0.408 24.360
0.408 23.356
0.408 22.134
0.408 21.196
0.408 21.946
0.408 20.747
0.408 20.032
0.408 18.751
0.408 19.383
0.408 18.082
0.408 20.095
0.408 18.850
0.408 17.878
0.408 17.798
0.408 17.879
0.408 17.556
0.408 19.550
0.408 18.187
0.408 18.104
0.408 17.840
0.408 17.871
0.408 17.718
0.408 17.664
0.408 16.465
0.408 18.033
0.408 17.901
0.408 17.663
0.408 17.595
0.408 17.457
0.408 16.831
0.408 17.278
0.408 16.602
0.408 17.558
0.408 17.039
0.408 17.375
0.408 16.341
0.408 16.583
0.408 16.185
0.408 15.926
0.408 15.670
0.408 15.386
0.408 13.960
0.408 15.275
0.408 14.837
0.408 14.090
0.408 14.848
0.408 15.432
0.408 16.039
0.408 15.540
0.408 15.817
0.408 15.249
0.408 15.249
0.408 16.154
0.408 16.640
0.408 15.600
0.408 16.117
0.408 17.176
0.408 16.752
0.408 16.917
0.408 16.136
0.408 16.525
0.408 16.007
0.408 16.051
0.408 16.092
0.408 16.370
0.408 15.637
0.408 15.279
0.408 15.096
0.408 15.871
